date,group,home,away,gh,ga
2026-06-11,A,Mexico,South Africa,2,0
2026-06-11,A,South Korea,Czechia,2,1
2026-06-12,B,Canada,Bosnia and Herzegovina,1,1
2026-06-12,D,USA,Paraguay,4,1
2026-06-13,B,Qatar,Switzerland,1,1
2026-06-13,C,Brazil,Morocco,1,1
2026-06-13,C,Haiti,Scotland,0,1
2026-06-13,D,Australia,Turkiye,2,0
2026-06-14,E,Germany,Curacao,7,1
2026-06-14,F,Netherlands,Japan,2,2
2026-06-14,E,Ivory Coast,Ecuador,1,0
2026-06-14,F,Sweden,Tunisia,5,1
2026-06-15,H,Spain,Cabo Verde,0,0
2026-06-15,G,Belgium,Egypt,1,1
2026-06-15,H,Saudi Arabia,Uruguay,1,1
2026-06-15,G,Iran,New Zealand,2,2
2026-06-16,I,France,Senegal,3,1
2026-06-16,I,Iraq,Norway,1,4
2026-06-16,J,Argentina,Algeria,3,0
2026-06-16,J,Austria,Jordan,3,1
2026-06-17,K,Portugal,DR Congo,1,1
2026-06-17,L,England,Croatia,4,2
2026-06-17,L,Ghana,Panama,1,0
2026-06-17,K,Uzbekistan,Colombia,1,3
2026-06-18,A,Czechia,South Africa,1,1
2026-06-18,B,Switzerland,Bosnia and Herzegovina,4,1
2026-06-18,B,Canada,Qatar,6,0
2026-06-18,A,Mexico,South Korea,1,0
2026-06-19,D,USA,Australia,2,0
2026-06-19,C,Scotland,Morocco,0,1
2026-06-19,C,Brazil,Haiti,3,0
2026-06-19,D,Turkiye,Paraguay,0,1
2026-06-20,F,Netherlands,Sweden,5,1
2026-06-20,E,Germany,Ivory Coast,2,1
2026-06-20,E,Ecuador,Curacao,0,0
2026-06-20,F,Tunisia,Japan,0,4
2026-06-21,H,Spain,Saudi Arabia,4,0
2026-06-21,G,Belgium,Iran,0,0
2026-06-21,H,Uruguay,Cabo Verde,2,2
2026-06-21,G,New Zealand,Egypt,1,3
2026-06-22,J,Argentina,Austria,2,0
2026-06-22,I,France,Iraq,3,0
2026-06-22,I,Norway,Senegal,3,2
2026-06-22,J,Jordan,Algeria,1,2
2026-06-23,K,Portugal,Uzbekistan,5,0
2026-06-23,L,England,Ghana,0,0
2026-06-23,K,Colombia,DR Congo,1,0
2026-06-23,L,Panama,Croatia,0,1
